batch,file,shellnoun,path,title,url,par_index,sent_index,sentence,is_antecedent,is_sn_sent
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,0,0,"In the race for Westchester County executive, voters will choose between two moderate candidates who diverge dramatically in their assessment of Westchester and their approach to government.",False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,1,0,"The two-term Republican incumbent, 56-year-old Andrew P. O ' Rourke, known for his warmth and wit, sees Westchester as a premier place to live, with unparalleled services.",False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,1,1,"There are problems, to be sure, he acknowledges, but under his direction the county has addressed them at an appropriate clip, he maintains.",False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,2,0,""" On the big social-fabric issues, we are evolutionary, not revolutionary, """,False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,3,0,"Mr. O ' Rourke said. "" One of the drawbacks of democracy is that things take a long time. """,False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,3,1,Threats to County Stressed,False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,4,0,"His challenger, Richard Brodsky, 43, a four-term State Assemblyman and Westchester native, also likes the county, but says he sees threats to its quality of life.",False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,4,1,He cites problems ranging from rising property taxes to a lack of affordable housing.,False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,5,0,"The lawmaker, described by some colleagues in Albany as intelligent and creative but also a bit abrasive and impatient, says he would confront the county ' s problems with a greater sense of urgency.",False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,6,0,""" In bureaucracies of this size, we must seize them and shake them up, "" said Mr. Brodsky, who prefers to characterize his style as "" tenacious. """,False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,7,0,""" If you ' ve seen his campaign literature, "" Mr. Brodsky said of Mr. O ' Rourke, "" it ' s yellow and blue, with big smiles and the American flag.",False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,7,1,"Ours is black and white, with energy and solutions - and the American flag. """,False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,8,0,Only one Democrat has held the county executive post since it was created in the 1930 ' s.,False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,8,1,"Mr. Brodsky ' s initiation into county politics in the mid-1970 ' s was as legal counsel to that man, Alfred B. Del Bello, who went on to become Lieutenant Governor from 1983 to 1985.",False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,8,2,More Democrats Registered,False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,9,0,"Nonetheless, Westchester ' s reputation as a Republican stonghold is slipping.",False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,9,1,"In 1985, Democrats pulled ahead of Republicans in registered voters for the first time, according to the Board of Elections.",False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,9,2,"This year there are 163,250 registered Democrats, 152,447 Republicans and 101,568 unaffiliated voters.",False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,10,0,"Over the last 20 years Westchester, one of the wealthiest counties in the nation, has gone from a New York City bedroom community to a corporate showcase.",False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,10,1,"But with that growth has come soaring housing costs and rising problems in traffic, solid-waste disposal and drug abuse.",False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,11,0,The county government has expanded along with its responsibilities.,False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,11,1,"Presiding over 10,000 employees and an annual budget edging toward $1 billion, Mr. O ' Rourke points to several accomplishments:",False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,12,0,He has helped people get off welfare with a program requiring them to work and has spurred housing for low-income and homeless people through public-private partnerships.,False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,12,1,"He has saved open space by buying tracts of land, fostered recycling programs, begun drug-education classes countywide and raised awareness about AIDS and Lyme disease.",False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,12,2,"His balanced budgets, coupled with a $130 million surplus, have given Westchester a triple-A bond rating.",False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,12,3,Curb on Taxes Proposed,False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,13,0,But Mr. Brodsky faults him for a 79 percent increase in county property taxes since 1983 and has proposed limiting future increases to no more than the rate of inflation for the non-mandated portion of the budget.,False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,13,1,"He has also proposed $12 million in cuts from next year ' s budget, including layoffs for county workers.",False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,14,0,Mr. Brodsky criticizes Mr. O ' Rourke for blaming the state and Federal Government for his inability to solve the county ' s crisis with homeless people.,False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,14,1,"Aside from New York City, Westchester has the largest population of homeless people in the state.",False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,14,2,"Barred by state law from building permanent housing, the county will spend $64 million this year to shelter more than 4,000 homeless people in motels.",False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,15,0,Mr. Brodsky insists that state law prevents county governments only from issuing bonds to create housing.,False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,15,1,He says he would use tax dollars to build and rehabilitate apartments.,False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,16,0,"The State Comptroller ' s office, however, says counties are prohibited from engaging in any housing activity, other than making contributions to services like sewer and water lines.",False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,16,1,An amendment to the State Constitution that would give counties the power to build housing has been introduced in the Legislature and received initial approval.,False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,17,0,"Mr. Brodsky, a fervent advocate of abortion rights, has also criticized Mr. O ' Rourke for his stand on this issue.",False,True
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,17,1,Mr. O ' Rourke has said he is personally against abortion but supports a woman ' s legal right to one.,True,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,17,2,Contrasting Personalities,False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,18,0,"In Albany Mr. Brodsky has led the fight for tougher ethics laws, the barring of alcohol in certain sections of public stadiums and the routing of low-cost energy to industries in southeastern New York.",False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,18,1,"The Greenburgh resident is a graduate of Ardsley High School, Brandeis University and Harvard Law School.",False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,19,0,""" Richard is extraordinarily bright, "" said Suzi Oppenheimer, a Democratic State Senator from New Rochelle.",False,False
1,1,issue,1989/11/03/0297224.xml,"In Westchester, 2 Moderates Battle for Top County Post",http://query.nytimes.com/gst/fullpage.html?res=950de1d6133ff930a35752c1a96f948260,19,1,"""",False,False
